souches;KNO3;NaCl;nodules;fixm;fixp;app.col
NI;0;0;0;0;0;1.2
NI;0;0;11;;;1.8
NI;0;0;0;0;0;1
NI;0;0;0;0;0;1.2
NI;5;0;;;;6
NI;5;0;0;0;0;4.2
NI;5;0;0;0;0;4.2
B;0;0;3;0;3;2.8
B;0;0;10;0;10;3
B;0;0;14;0;14;3
B;0;0;7;0;7;3
B;0;10;8;8;0;3
B;5;0;4;4;0;6
B;5;0;13;13;0;5.5
A;0;0;4;;4;3.3
A;0;0;0;0;0;2.5
A;0;0;17;0;17;3.2
A;0;0;10;0;10;4.2
C;0;0;7;7;0;3.2
C;0;0;11;11;0;3.2
C;0;0;6;6;0;2.5
C;0;0;15;15;0;4
NI;0;0;0;0;0;1.8
NI;0;0;0;0;0;2.8
NI;0;0;0;0;0;2.3
NI;0;0;0;0;0;2.1
NI;5;0;0;0;0;3.5
NI;5;0;0;0;0;3.5
NI;5;0;0;0;0;4.8
NI;5;0;0;0;0;4.7
B;0;0;13;0;13;2.3
B;0;0;24;15;9;3.3
B;0;0;16;0;16;2.3
B;0;0;14;12;2;2.1
B;0;10;13;8;5;1.5
B;0;10;10;8;2;1.5
B;5;0;7;0;7;4.5
B;5;0;7;0;7;4.5
A;0;0;15;15;0;2.0
A;0;0;9;9;0;2.5
A;0;0;9;8;1;2.3
A;0;0;11;11;0;2.5
C;0;0;8;8;0;2.6
C;0;0;12;12;0;1.4
C;0;0;19;19;0;2.9
C;0;0;12;12;0;1.8
NI;0;0;0;0;0;2.7
NI;0;0;0;0;0;2.5
NI;0;0;0;0;0;2.7
NI;0;0;0;0;0;2.4
NI;25;0;0;0;0;1.8
NI;25;0;0;0;0;3.8
NI;25;0;0;0;0;3.8
NI;25;0;0;0;0;4
B;0;0;16;;;2.7
B;0;0;15;;;2.1
B;0;0;9;;;1.8
B;0;0;6;;;1.6
B;0;50;0;;;1
B;0;50;1;;;1.9
B;25;0;4;;;4.2
B;25;0;11;;;2.8
A;0;0;3;3;0;2.6
A;0;0;23;;;2.2
A;0;0;2;;;2.3
A;0;0;8;;;2
C;0;0;8;;;2.7
C;0;0;10;;;2.7
C;0;0;0;0;0;2.6
C;0;0;6;;;1.5
NI;0;0;0;0;0;2.5
NI;0;0;0;0;0;3.5
NI;0;0;0;0;0;2
NI;0;0;0;0;0;3.5
NI;10;0;0;0;0;5
NI;10;0;0;0;0;3.5
NI;10;0;0;0;0;4.8
NI;10;0;0;0;0;4.5
B;0;0;15;;;2.8
B;0;0;12;;;1.6
B;0;0;13;;;2.1
B;0;0;15;;;2.5
B;0;25;5;5;0;1.5
B;0;25;7;7;0;2.5
B;10;0;15;0;15;5.8
B;10;0;13;0;13;5.2
NI;10;0;0;0;0;4.2
NI;10;0;0;0;0;5.3
NI;10;0;0;0;0;5.1
NI;10;0;0;0;0;3.8
B;0;0;7;7;0;2.7
B;0;0;9;9;0;3.1
B;0;0;8;8;0;2.2
B;0;0;4;4;0;2.6
B;0;25;5;;;2.3
B;10;0;4;3;1;4.4
B;10;0;4;;;3.3
A;0;0;4;4;0;2.1
A;0;0;6;6;0;2
A;0;0;8;8;0;2.3
A;0;0;4;4;0;1.6
C;0;0;12;12;0;1.2
C;0;0;6;6;0;2.5
C;0;0;5;5;0;2.6
C;0;0;9;9;0;1.2
NI;0;0;0;0;0;2.9
NI;0;0;0;0;0;2.4
NI;0;0;0;0;0;2.7
NI;0;0;0;0;0;2.3
NI;25;0;0;0;0;6.2
NI;25;0;0;0;0;4.3
NI;25;0;0;0;0;5.5
NI;25;0;0;0;0;4.6
B;0;0;15;0;15;1.1
B;0;0;16;0;16;2.8
B;0;0;10;0;10;3.4
B;0;0;16;0;16;3.1
B;0;50;20;0;20;2.5
B;0;50;5;0;5;2.3
B;25;0;3;0;3;4.5
B;25;0;11;0;11;4.9
A;0;0;3;0;3;1.6
A;0;0;20;0;20;3.3
A;0;0;8;0;8;2.9
A;0;0;10;0;10;2.9
C;0;0;6;6;0;2.5
C;0;0;7;7;0;2.5
C;0;0;4;4;0;2.3
C;0;0;12;12;0;2.4
NI;0;0;0;0;0;1.6
NI;0;0;0;0;0;2.3
NI;50;0;0;0;0;4.4
NI;50;0;0;0;0;4.3
NI;50;0;0;0;0;4
NI;50;0;0;0;0;5
B;0;0;2;0;2;3.2
B;0;0;2;0;2;2.5
B;0;0;4;0;4;1.5
B;0;0;18;18;0;3
B;0;75;0;0;0;1
B;0;75;0;0;0;1.7
B;50;0;0;0;0;4.1
B;50;0;0;0;0;3.9
A;0;0;4;4;0;1.9
A;0;0;12;12;0;2.5
A;0;0;12;0;12;2.7
A;0;0;3;0;3;1.9
C;0;0;13;13;0;3.4
C;0;0;6;6;0;3.2
C;0;0;9;9;0;2.3
C;0;0;12;12;0;2.9
NI;0;0;0;0;0;0
NI;0;0;0;0;0;0
NI;0;0;0;0;0;0
NI;0;0;0;0;0;0
NI;50;0;0;0;0;0
NI;50;0;0;0;0;0
NI;50;0;0;0;0;0
NI;50;0;0;0;0;0
B;0;0;10;0;10;3.5
B;0;0;18;0;18;3
B;0;0;28;;;1.5
B;0;0;6;;;2.6
B;0;75;0;0;0;0.6
B;0;75;2;2;0;2
B;50;0;0;0;0;4.4
B;50;0;0;0;0;4.5
A;0;0;39;39;0;2.5
A;0;0;23;;;3.5
A;0;0;19;0;19;4
A;0;0;18;0;18;2.4
C;0;0;7;7;0;3.2
C;0;0;33;33;0;2.4
C;0;0;27;27;0;3.5
C;0;0;5;5;0;2.6
